LOG_NO,RACE,GENDER,BIRTH_YEAR
2019-0003720,NULL,NULL,NULL
2019-0003721,"Hispanic, Latino, or Spanish Origin",Female,1994
2019-0003721,WHI,F,1983
2019-0003724,Black or African American,Male,1988
2019-0003729,Black or African American,Male,1986
2019-0003730,Black or African American,Male,1958
2019-0003735,Black or African American,Male,1981
2019-0003736,Black or African American,Prefer to Self-Describe,1971
2019-0003740,Black or African American,Male,1984
2019-0003744,NULL,NULL,NULL
2019-0003748,Black or African American,Male,1986
2019-0003749,Black or African American,NULL,1997
2019-0003754,Black or African American,Male,1981
2019-0003754,WHI,M,1971
2019-0003756,WHI,M,1968
2019-0003756,"Hispanic, Latino, or Spanish Origin",Male,1972
2019-0003760,NULL,NULL,NULL
2019-0003763,"Hispanic, Latino, or Spanish Origin",Male,1958
2019-0003764,Black or African American,Female,1985
2019-0003765,Black or African American,Male,1990
2019-0003769,Black or African American,Female,1992
2019-0003772,Black or African American,Male,1973
2019-0003777,NULL,NULL,NULL
2019-0003778,BLK,M,1969
2019-0003778,Black or African American,Male,1984
2019-0003779,NULL,Female,NULL
2019-0003780,"Hispanic, Latino, or Spanish Origin",Male,1993
2019-0003790,WHI,M,1977
2019-0003794,Black or African American,Male,1985
2019-0003799,S,F,1977
2019-0003802,WHI,M,1974
2019-0003804,WHI,M,1978
2019-0003806,BLK,M,1960
2019-0003807,BLK,M,1960
2019-0003812,WHI,M,1966
2019-0003813,WHI,M,1970
2019-0003813,Black or African American,Female,1995
2019-0003815,Black or African American,Male,1993
2019-0003815,WHI,M,1969
2019-0003818,Black or African American,Female,1961
2019-0003818,Black or African American,Female,1925
2019-0003821,Black or African American,Male,1982
2019-0003823,Black or African American,Male,1976
2019-0003826,Black or African American,NULL,1980
2019-0003826,S,M,1975
2019-0003827,White,Male,NULL
2019-0003828,NULL,NULL,NULL
2019-0003830,BLK,M,1969
2019-0003835,Black or African American,Female,1983
2019-0003836,Black or African American,Male,1981
2019-0003836,BLK,F,1971
2019-0003838,White,Male,1972
2019-0003839,Black or African American,Male,1989
2019-0003840,"Some Other Race, Ethnicity, or Origin",Male,1963
2019-0003842,Black or African American,Male,1992
2019-0003845,Black or African American,NULL,1985
2019-0003847,Black or African American,Male,1986
2019-0003849,Black or African American,Male,1976
2019-0003851,NULL,NULL,NULL
2019-0003855,Black or African American,Male,1991
2019-0003856,Black or African American,Male,1985
2019-0003856,Black or African American,Female,1966
2019-0003858,Black or African American,Female,NULL
2019-0003861,Black or African American,Male,1992
2019-0003864,Black or African American,Male,1983
2019-0003869,Black or African American,Male,1976
2019-0003869,WHI,F,1946
2019-0003869,WHI,M,1962
2019-0003871,WHI,M,1973
2019-0003871,"Hispanic, Latino, or Spanish Origin",Male,1997
2019-0003874,Black or African American,Male,1977
2019-0003878,Black or African American,Male,1977
2019-0003884,NULL,NULL,NULL
2019-0003887,WHI,M,1975
2019-0003887,BLK,F,1976
2019-0003890,WHI,M,1967
2019-0003890,Black or African American,Male,1991
2019-0003900,Black or African American,Male,1961
2019-0003901,Black or African American,Male,1987
2019-0003905,Black or African American,Female,1991
2019-0003908,Black or African American,Male,1986
2019-0003910,S,M,1979
2019-0003920,BLK,M,1962
2019-0003921,BLK,M,1959
2019-0003921,WHI,M,1969
2019-0003922,Black or African American,Male,NULL
2019-0003924,BLK,M,1967
2019-0003932,Black or African American,Male,1961
2019-0003933,"Hispanic, Latino, or Spanish Origin",Female,1994
2019-0003933,NULL,Male,1993
2019-0003934,"Hispanic, Latino, or Spanish Origin",Male,NULL
2019-0003934,NULL,NULL,NULL
2019-0003936,S,F,1978
2019-0003937,S,M,1979
2019-0003937,White,Female,1982
2019-0003941,NULL,NULL,NULL
2019-0003943,NULL,Male,1974
2019-0003944,American Indian or Alaska Native,Female,1984
2019-0003949,"Hispanic, Latino, or Spanish origin",Female,1988
2019-0003950,Black or African American,Female,1987
2019-0003951,Not listed,Male,NULL
2019-0003952,NULL,NULL,NULL
2019-0003954,Black or African American,Male,1980
2019-0003955,Black or African American,Male,1980
2019-0003959,"Hispanic, Latino, or Spanish origin",Male,1994
2019-0003960,"Hispanic, Latino, or Spanish origin",Male,1994
2019-0003965,NULL,Male,1985
2019-0003966,NULL,Male,NULL
2019-0003968,Black or African American,Female,1954
2019-0003969,Black or African American,Female,1985
2019-0003970,Black or African American,Female,1985
2019-0003971,"Hispanic, Latino, or Spanish origin",Male,1960
2019-0003972,"Hispanic, Latino, or Spanish origin",Male,1960
2019-0003975,WHI,M,1972
2019-0003975,WHI,F,1978
2019-0003976,Black or African American,Female,1983
2019-0003977,NULL,Male,1972
2019-0003985,Asian,Female,1964
2019-0003986,Black or African American,Male,2001
2019-0003987,Not listed,Male,1985
2019-0003988,Black or African American,Male,1964
2019-0003989,White,Male,1992
2019-0003992,Black or African American,Male,1992
2019-0003997,Black or African American,Female,1966
2019-0003998,Black or African American,Female,1966
2019-0004001,White,Female,1995
2019-0004009,Black or African American,Male,1987
2019-0004015,Black or African American,Male,1991
2019-0004019,Black or African American,Male,1985
2019-0004020,"Hispanic, Latino, or Spanish Origin",Male,1979
2019-0004025,Black or African American,Male,1997
2019-0004025,WHI,M,1971
2019-0004029,WHI,F,1966
2019-0004029,Black or African American,Female,1984
2019-0004030,Black or African American,Male,1991
2019-0004035,White,Female,1989
2019-0004038,Black or African American,Male,1960
2019-0004041,Black or African American,Female,1977
2019-0004041,WHI,M,1978
2019-0004043,Black or African American,Female,1982
2019-0004045,WHI,M,1977
2019-0004047,White,Male,1986
2019-0004048,Black or African American,Male,1993
2019-0004048,WHI,M,1980
2019-0004049,NULL,NULL,NULL
2019-0004050,NULL,NULL,NULL
2019-0004051,Black or African American,Female,1992
2019-0004055,White,Male,1996
2019-0004055,WHI,M,1973
2019-0004064,Black or African American,Male,1992
2019-0004068,Black or African American,Female,1997
2019-0004069,White,Male,1977
2019-0004072,White,Male,1982
2019-0004085,NULL,Female,1966
2019-0004085,WHI,M,1979
2019-0004089,Black or African American,Female,1985
2019-0004094,Black or African American,NULL,1987
2019-0004098,Black or African American,Female,NULL
2019-0004101,NULL,Male,NULL
2019-0004103,S,F,1973
2019-0004105,NULL,NULL,NULL
2019-0004107,Black or African American,Male,1984
2019-0004112,NULL,NULL,NULL
2019-0004114,Black or African American,NULL,2001
2019-0004114,"Some Other Race, Ethnicity, or Origin",NULL,1998
2019-0004118,White,Female,2000
2019-0004120,"Hispanic, Latino, or Spanish Origin",Female,1995
2019-0004120,S,M,1981
2019-0004122,Black or African American,Male,1993
2019-0004124,Asian,Male,1997
2019-0004125,NULL,NULL,NULL
2019-0004125,WHI,M,1973
2019-0004126,WHI,M,NULL
2019-0004127,WHI,M,NULL
2019-0004129,WHI,M,1976
2019-0004129,NULL,NULL,NULL
2019-0004134,Black or African American,Female,1979
2019-0004137,Black or African American,Female,1990
2019-0004145,"Hispanic, Latino, or Spanish Origin",Male,1975
2019-0004146,Black or African American,Male,1983
2019-0004149,Black or African American,Male,1995
2019-0004150,WHI,F,1966
2019-0004151,WHI,M,1972
2019-0004151,Black or African American,Male,1988
2019-0004161,Black or African American,Female,1973
2019-0004163,NULL,NULL,1964
2019-0004174,Black or African American,Male,1989
2019-0004174,WHI,M,1976
2019-0004176,Black or African American,Male,1988
2019-0004177,Black or African American,Male,1995
2019-0004179,Black or African American,Male,1972
2019-0004180,Black or African American,Male,1979
2019-0004181,NULL,NULL,NULL
2019-0004182,Black or African American,Male,1979
2019-0004184,NULL,NULL,1993
2019-0004186,NULL,NULL,1977
2019-0004189,NULL,NULL,1987
2019-0004191,NULL,Female,NULL
2019-0004192,NULL,NULL,1980
2019-0004197,BLK,M,1964
2019-0004199,WHI,M,1970
2019-0004202,Black or African American,Male,1986
2019-0004204,Black or African American,Male,1985
2019-0004208,NULL,NULL,1979
2019-0004208,NULL,NULL,1976
2019-0004209,NULL,NULL,1985
2019-0004213,NULL,NULL,1997
2019-0004215,Black or African American,Male,1959
2019-0004216,Black or African American,Male,1967
2019-0004219,Black or African American,Male,1989
2019-0004220,Black or African American,Male,1987
2019-0004221,"Hispanic, Latino, or Spanish Origin",Female,1996
2019-0004222,Black or African American,Male,1979
2019-0004223,NULL,NULL,1999
2019-0004225,NULL,Male,NULL
2019-0004226,NULL,NULL,1983
2019-0004229,Black or African American,Male,NULL
2019-0004230,NULL,NULL,NULL
2019-0004232,NULL,NULL,1991
2019-0004234,Black or African American,Male,1992
2019-0004236,Black or African American,Male,1996
2019-0004236,WHI,M,1974
2019-0004237,Black or African American,Male,1999
2019-0004240,Black or African American,Male,NULL
2019-0004240,WHI,M,1974
2019-0004244,White,Male,1997
2019-0004246,Black or African American,Male,1994
2019-0004246,WHI,M,1966
2019-0004248,Not listed,Prefer not to say,1987
2019-0004249,WHI,M,1969
2019-0004255,White,Female,1996
2019-0004256,Black or African American,Male,1973
2019-0004257,NULL,NULL,NULL
2019-0004257,WHI,M,1981
2019-0004259,Black or African American,Male,1974
2019-0004260,Black or African American,Male,NULL
2019-0004261,Black or African American,Female,1971
2019-0004267,Black or African American,Female,1990
2019-0004269,"Hispanic, Latino, or Spanish Origin",Female,1989
2019-0004270,Black or African American,Male,1982
2019-0004270,Black or African American,Male,1981
2019-0004274,Black or African American,Female,1988
2019-0004279,Black or African American,Male,1989
2019-0004282,Black or African American,Female,1997
2019-0004283,Black or African American,Male,1981
2019-0004289,Black or African American,Male,1996
2019-0004291,Black or African American,Female,1978
2019-0004292,"Hispanic, Latino, or Spanish Origin",Male,1965
2019-0004294,Black or African American,Male,NULL
2019-0004297,WHI,M,1963
2019-0004304,Black or African American,Male,NULL
2019-0004308,Black or African American,Male,1967
2019-0004309,Black or African American,Male,1980
2019-0004319,Black or African American,Male,2003
2019-0004321,Black or African American,Male,1980
2019-0004325,"Hispanic, Latino, or Spanish Origin",Female,2000
2019-0004325,NULL,NULL,NULL
2019-0004328,Black or African American,Male,1993
2019-0004329,"Hispanic, Latino, or Spanish origin",Female,1994
2019-0004331,NULL,NULL,NULL
2019-0004338,Black or African American,Male,1971
2019-0004339,Black or African American,Female,1978
2019-0004341,Black or African American,Male,1982
2019-0004344,Black or African American,Female,1976
2019-0004346,Black or African American,Female,NULL
2019-0004351,Asian,Male,1987
2019-0004352,Asian,Male,2019
2019-0004353,NULL,NULL,2005
2019-0004353,NULL,Male,NULL
2019-0004353,WHI,M,1973
2019-0004354,WHI,M,1973
2019-0004354,NULL,NULL,2005
2019-0004354,NULL,NULL,NULL
2019-0004355,WHI,M,1971
2019-0004356,NULL,NULL,NULL
2019-0004357,WHI,M,1963
2019-0004357,WHI,F,1964
2019-0004360,S,M,1971
2019-0004360,Black or African American,Male,1972
2019-0004362,WHI,M,1981
2019-0004364,NULL,NULL,NULL
2019-0004365,Black or African American,Male,1986
2019-0004368,NULL,NULL,NULL
2019-0004379,"Hispanic, Latino, or Spanish origin",Male,1963
2019-0004384,Black or African American,Female,1981
2019-0004384,Black or African American,Female,NULL
2019-0004388,NULL,NULL,NULL
2019-0004390,Black or African American,Male,1982
2019-0004398,NULL,NULL,NULL
2019-0004399,NULL,NULL,NULL
2019-0004401,"Hispanic, Latino, or Spanish Origin",Male,1981
2019-0004404,Black or African American,NULL,1999
2019-0004404,WHI,F,1979
2019-0004407,"Hispanic, Latino, or Spanish origin",Female,1975
2019-0004408,Black or African American,Male,1998
2019-0004409,NULL,NULL,NULL
2019-0004415,S,M,1975
2019-0004419,White,Male,1956
2019-0004420,White,Male,1985
2019-0004424,"Hispanic, Latino, or Spanish Origin",Male,1988
2019-0004428,Asian,Male,2019
2019-0004432,Black or African American,Male,1974
2019-0004433,Black or African American,Female,1953
2019-0004434,Black or African American,Female,1970
2019-0004437,Not listed,Female,1989
2019-0004439,Black or African American,Male,2002
2019-0004439,WHI,M,1964
2019-0004441,Black or African American,Male,2000
2019-0004445,NULL,NULL,2019
2019-0004446,WHI,M,1968
2019-0004450,White,Female,1996
2019-0004455,WHI,F,1976
2019-0004456,WHI,M,1982
2019-0004457,WHI,M,1982
2019-0004458,WHI,M,1984
2019-0004458,NULL,NULL,1990
2019-0004464,Black or African American,Male,1962
2019-0004466,NULL,Female,1982
2019-0004467,NULL,NULL,NULL
2019-0004467,WHI,M,1976
2019-0004470,NULL,NULL,2019
2019-0004473,BLK,M,1962
2019-0004479,WHI,M,1970
2019-0004487,WHI,M,1967
2019-0004488,Black or African American,Male,1978
2019-0004492,NULL,Male,NULL
2019-0004494,NULL,NULL,NULL
2019-0004495,NULL,NULL,NULL
2019-0004496,NULL,Male,NULL
2019-0004498,NULL,NULL,2019
2019-0004500,WHI,M,1975
2019-0004502,NULL,NULL,NULL
2019-0004504,NULL,NULL,NULL
2019-0004505,NULL,NULL,NULL
2019-0004506,NULL,NULL,NULL
2019-0004508,NULL,NULL,NULL
2019-0004513,NULL,NULL,NULL
2019-0004515,NULL,Female,NULL
2019-0004515,NULL,NULL,NULL
2019-0004516,NULL,NULL,NULL
2019-0004516,NULL,NULL,NULL
2019-0004517,NULL,NULL,NULL
2019-0004518,NULL,NULL,2019
2019-0004522,White,NULL,NULL
2019-0004522,WHI,M,1966
2019-0004528,WHI,M,1974
2019-0004528,Black or African American,Male,1996
2019-0004529,Black or African American,Male,1998
2019-0004529,Black or African American,Female,1982
2019-0004530,Black or African American,Female,NULL
2019-0004530,Black or African American,Male,NULL
2019-0004530,Black or African American,Male,NULL
2019-0004530,NULL,NULL,NULL
2019-0004533,WHI,F,1965
2019-0004535,NULL,NULL,NULL
2019-0004538,Black or African American,Male,1991
2019-0004538,WHI,M,1978
2019-0004539,S,M,1983
2019-0004539,Black or African American,Male,1998
2019-0004545,WHI,F,1966
2019-0004546,NULL,NULL,NULL
2019-0004547,NULL,NULL,NULL
2019-0004548,NULL,NULL,NULL
2019-0004548,NULL,NULL,NULL
2019-0004559,White,Male,1960
2019-0004565,Black or African American,Male,1976
2019-0004567,Black or African American,Female,1988
2019-0004572,NULL,NULL,1970
2019-0004572,WHI,M,1976
2019-0004573,S,F,1963
2019-0004573,WHI,M,1966
2019-0004574,S,M,1951
2019-0004574,NULL,Female,1977
2019-0004576,Black or African American,Female,2000
2019-0004579,WHI,M,1958
2019-0004583,BLK,F,1972
2019-0004583,Black or African American,Female,1985
2019-0004587,Black or African American,Male,1969
2019-0004589,Black or African American,Male,1972
2019-0004591,White,Male,2019
2019-0004592,Black or African American,Male,1982
2019-0004595,Black or African American,Male,1998
2019-0004595,S,M,1979
2019-0004597,Not listed,Female,1977
2019-0004598,Black or African American,Male,1998
2019-0004599,Black or African American,Male,1969
2019-0004600,NULL,NULL,NULL
2019-0004601,Black or African American,Male,1978
2019-0004608,Black or African American,Male,1969
2019-0004610,"Hispanic, Latino, or Spanish Origin",NULL,1981
2019-0004617,Black or African American,Female,1992
2019-0004622,NULL,NULL,NULL
2019-0004625,NULL,NULL,NULL
2019-0004625,White,Male,NULL
2019-0004628,NULL,NULL,2019
2019-0004634,NULL,Male,1999
2019-0004635,Black or African American,Female,1987
2019-0004642,WHI,M,1972
2019-0004644,NULL,Female,1998
2019-0004644,NULL,Male,2001
2019-0004646,"Hispanic, Latino, or Spanish origin",Male,1987
2019-0004647,NULL,NULL,NULL
2019-0004648,NULL,NULL,2019
2019-0004649,NULL,NULL,2019
2019-0004650,NULL,Female,1989
2019-0004653,WHI,M,1978
2019-0004654,Black or African American,Male,1996
2019-0004658,Black or African American,Female,1981
2019-0004659,WHI,M,1966
2019-0004668,BLK,F,1969
2019-0004668,Black or African American,NULL,NULL
2019-0004670,"Hispanic, Latino, or Spanish Origin",Male,1985
2019-0004670,S,M,NULL
2019-0004671,White,Male,1985
2019-0004676,Black or African American,Female,1984
2019-0004679,NULL,Male,2001
2019-0004679,"Hispanic, Latino, or Spanish Origin",Male,1972
2019-0004679,"Hispanic, Latino, or Spanish Origin",Female,1976
2019-0004679,WHI,M,1971
2019-0004680,NULL,NULL,1962
2019-0004685,"Hispanic, Latino, or Spanish Origin",Male,1977
2019-0004685,WHI,M,1965
2019-0004688,Black or African American,Male,1981
2019-0004690,NULL,NULL,2019
2019-0004690,BLK,M,1979
2019-0004694,Black or African American,Female,1997
2019-0004694,Black or African American,Male,1989
2019-0004695,Black or African American,Male,2019
2019-0004695,WHI,M,1970
2019-0004696,WHI,M,1970
2019-0004696,NULL,NULL,NULL
2019-0004700,NULL,NULL,NULL
2019-0004711,BLK,M,1964
2019-0004715,Black or African American,Male,1978
2019-0004716,Black or African American,Male,1949
2019-0004717,Black or African American,NULL,1987
2019-0004718,BLK,F,1965
2019-0004718,WHI,M,1967
2019-0004718,API,M,1968
2019-0004722,BLK,M,1964
2019-0004725,S,F,1976
2019-0004725,Black or African American,Male,NULL
2019-0004729,WHI,M,NULL
2019-0004730,NULL,NULL,NULL
2019-0004738,NULL,NULL,NULL
2019-0004742,"Hispanic, Latino, or Spanish Origin",Female,1998
2019-0004744,White,Female,NULL
2019-0004745,NULL,Male,1997
2019-0004745,WHI,M,1981
2019-0004746,"Hispanic, Latino, or Spanish origin",Male,1992
2019-0004748,WHI,M,1978
2019-0004750,WHI,M,1967
2019-0004754,WHI,M,1965
2019-0004760,White,Male,1986
2019-0004773,Black or African American,Male,1971
2019-0004774,"Hispanic, Latino, or Spanish Origin",NULL,1987
2019-0004775,American Indian or Alaska Native,Male,2019
2019-0004776,WHI,M,1976
2019-0004780,Black or African American,Male,1986
2019-0004781,Black or African American,Male,1996
2019-0004782,Black or African American,Female,1968
2019-0004782,BLK,M,1972
2019-0004783,NULL,NULL,2019
2019-0004786,WHI,M,1979
2019-0004789,S,M,1963
2019-0004790,Black or African American,Female,1984
2019-0004793,Black or African American,Male,1992
2019-0004795,Not listed,Prefer not to say,1975
2019-0004801,Black or African American,Male,1965
2019-0004803,Black or African American,Male,1975
2019-0004814,Black or African American,Male,1984
2019-0004818,WHI,M,1967
2019-0004819,Black or African American,Male,1984
2019-0004821,Black or African American,Female,1966
2019-0004821,WHI,M,1968
2019-0004822,White,Male,1960
2019-0004828,Black or African American,Male,1974
2019-0004829,Black or African American,Female,1987
2019-0004831,Black or African American,Male,1995
2019-0004832,Black or African American,Male,2001
2019-0004836,WHI,M,1967
2019-0004838,White,Male,NULL
2019-0004848,White,Male,NULL
2019-0004849,WHI,M,1973
2019-0004849,Black or African American,Female,1985
2019-0004851,NULL,NULL,NULL
2019-0004852,BLK,M,1967
2019-0004856,NULL,Female,NULL
2019-0004858,Black or African American,Male,1993
2019-0004858,WHI,M,1975
2019-0004859,Black or African American,Male,NULL
2019-0004861,Black or African American,Male,1993
2019-0004863,BLK,M,1968
2019-0004865,WHI,M,1976
2019-0004865,Black or African American,Female,1973
2019-0004867,Black or African American,Male,1992
2019-0004867,WHI,M,1964
2019-0004868,WHI,M,1980
2019-0004868,NULL,Female,NULL
2019-0004871,WHI,F,1980
2019-0004872,White,Female,1964
2019-0004873,NULL,NULL,NULL
2019-0004873,WHI,M,1980
2019-0004875,WHI,F,1978
2019-0004875,NULL,NULL,1999
2019-0004876,Asian,Female,1998
2019-0004878,NULL,NULL,2019
2019-0004879,NULL,Male,1974
2019-0004880,Black or African American,Male,1966
2019-0004882,Black or African American,Male,1970
2019-0004882,Black or African American,Male,2001
2019-0004888,Black or African American,Male,1986
2019-0004900,Black or African American,Female,1992
2019-0004902,Black or African American,Female,1995
2019-0004909,White,Male,1970
2019-0004912,NULL,NULL,NULL
2019-0004912,WHI,M,1971
2019-0004916,WHI,M,1966
2019-0004916,NULL,Male,1988
2019-0004918,Asian,Male,1984
2019-0004922,Black or African American,Female,NULL
2019-0004926,NULL,NULL,NULL
2019-0004927,Black or African American,Male,1961
2019-0004934,WHI,M,1965
2019-0004935,S,F,1975
2019-0004935,"Hispanic, Latino, or Spanish Origin",Female,2000
2019-0004939,Black or African American,Female,1970
2019-0004939,BLK,M,1973
2019-0004940,WHI,M,1973
2019-0004940,Black or African American,Male,1978
2019-0004942,NULL,NULL,NULL
2019-0004946,WHI,M,1977
2019-0004950,White,Female,1978
2019-0004953,"Hispanic, Latino, or Spanish Origin",Female,1981
2019-0004953,White,Male,1976
2019-0004954,White,Female,1981
2019-0004956,NULL,NULL,NULL
2019-0004956,S,M,1966
2019-0004960,Black or African American,Male,1982
2019-0004964,Black or African American,Prefer not to say,1995
2019-0004965,NULL,Female,NULL
2019-0004965,NULL,Male,1994
2019-0004967,Black or African American,Male,1992
2019-0004968,Black or African American,Female,NULL
2019-0004968,Black or African American,Male,NULL
2019-0004970,Black or African American,Male,1985
2019-0004971,Black or African American,Female,2002
2019-0004971,WHI,M,1982
2019-0004975,NULL,NULL,NULL
2019-0004981,Black or African American,Male,1989
2019-0004985,Black or African American,Male,1977
2019-0004987,WHI,M,1982
2019-0004988,WHI,F,1975
2019-0004988,Black or African American,Male,1988
2019-0004990,Black or African American,Female,2019
2019-0004992,Black or African American,Male,1982
2019-0004994,"Some Other Race, Ethnicity, or Origin",Female,1980
2019-0005000,Black or African American,Female,1955
2019-0005008,Black or African American,Male,1983
2019-0005013,NULL,NULL,NULL
2019-0005014,"Hispanic, Latino, or Spanish Origin",NULL,1991
2019-0005018,Black or African American,Female,1988
2019-0005018,WHI,M,1978
2019-0005021,BLK,F,1967
2019-0005023,Black or African American,Female,1974
2019-0005026,NULL,NULL,NULL
2019-0005028,BLK,F,1966
2019-0005029,Black or African American,Female,1980
2019-0005035,BLK,F,1982
2019-0005036,NULL,NULL,NULL
2019-0005037,Black or African American,Male,1970
2019-0005038,Black or African American,Female,1990
2019-0005041,Black or African American,Male,1981
2019-0005042,WHI,M,NULL
2019-0005043,Black or African American,Female,1991
2019-0005047,"Hispanic, Latino, or Spanish Origin",NULL,1992
2019-0005047,WHI,M,1978
2019-0005049,Black or African American,Male,1990
2019-0005050,Black or African American,Male,2019
2019-0005050,Black or African American,Male,2019
2019-0005054,Black or African American,NULL,NULL
2019-0005059,Black or African American,NULL,NULL
2019-0005059,Black or African American,NULL,2002
2019-0005060,Black or African American,Female,1984
2019-0005064,WHI,M,1983
2019-0005075,Black or African American,Female,2002
2019-0005076,Black or African American,Male,1989
2019-0005076,WHI,M,1971
2019-0005077,Black or African American,Male,1984
2019-0005078,NULL,NULL,2019
2019-0005079,Asian,Male,1973
2019-0005081,NULL,NULL,2019
2019-0005082,Black or African American,Male,1990
2019-0005085,"Hispanic, Latino, or Spanish Origin",Male,1996
2019-0005085,WHI,F,1970
2019-0005092,WHI,M,1971
2019-0005094,NULL,NULL,2019
2019-0005097,Black or African American,Female,1966
2019-0005101,NULL,Male,NULL
2019-0005104,White,Female,1982
2019-0005108,White,Male,1951
2019-0005109,Black or African American,Male,NULL
2019-0005116,NULL,NULL,2019
2019-0005117,American Indian or Alaska Native,Male,1994
2019-0005118,Black or African American,Male,1999
2019-0005119,"Some Other Race, Ethnicity, or Origin",Female,1983
2019-0005119,Black or African American,Male,2002
2019-0005120,Black or African American,Male,1994
2019-0005124,NULL,Female,NULL
2019-0005126,Black or African American,Male,1994
2019-0005131,Prefer Not to Say,Male,1991
2019-0005132,Prefer Not to Say,Male,1991
2019-0005135,NULL,NULL,NULL
2019-0005135,NULL,NULL,NULL
2019-0005135,WHI,M,1974
2019-0005136,NULL,NULL,NULL
2019-0005137,Black or African American,Female,1956
2019-0005138,Black or African American,Male,1987
2019-0005138,Black or African American,Male,1995
2019-0005141,NULL,NULL,NULL
2019-0005142,NULL,NULL,NULL
2019-0005149,"Hispanic, Latino, or Spanish Origin",Male,2004
2019-0005149,BLK,M,1972
2019-0005153,NULL,NULL,2019
2019-0005154,NULL,NULL,2019
2019-0005156,NULL,NULL,2019
2019-0005157,Black or African American,Male,1981
2019-0005158,Black or African American,Female,1979
2019-0005158,Black or African American,Male,2001
2019-0005159,"Hispanic, Latino, or Spanish origin",Male,1997
2019-0005163,NULL,NULL,2019
2019-0005165,S,M,1968
2019-0005168,NULL,Female,1983
2019-0005169,NULL,NULL,2019
2019-0005170,Black or African American,Male,1998
2019-0005174,Black or African American,Male,1988
2019-0005174,NULL,NULL,1988
2019-0005178,Black or African American,NULL,1955
2019-0005183,WHI,M,1981
2019-0005184,WHI,M,1970
2019-0005184,White,Female,1996
2019-0005186,Black or African American,Female,1975
2019-0005186,WHI,M,1981
2019-0005187,WHI,M,1979
2019-0005187,NULL,NULL,NULL
2019-0005190,Black or African American,Female,1994
2019-0005191,Black or African American,Male,1989
2019-0005191,WHI,M,NULL
2019-0005192,WWH,F,1983
2019-0005192,S,M,1968
2019-0005193,WHI,M,1979
2019-0005194,American Indian or Alaska Native,Male,NULL
2019-0005196,BLK,M,1972
2019-0005196,"Hispanic, Latino, or Spanish Origin",Male,1988
2019-0005197,Middle Eastern or North African,Male,1977
2019-0005197,WHI,M,1970
2019-0005198,Black or African American,NULL,1989
2019-0005199,Black or African American,Male,1979
2019-0005200,Black or African American,Female,1998
2019-0005203,Prefer Not to Say,Male,1963
2019-0005205,Black or African American,Male,1991
2019-0005206,NULL,NULL,NULL
2019-0005207,NULL,Female,1987
2019-0005209,WHI,M,NULL
2019-0005215,WHI,M,1981
2019-0005215,Native Hawaiian or Other Pacific Islander,Female,1978
2019-0005216,"Hispanic, Latino, or Spanish Origin",Female,1988
2019-0005216,WHI,M,1961
2019-0005220,S,M,1966
2019-0005221,Black or African American,Female,1967
2019-0005225,Black or African American,Male,1980
2019-0005229,Black or African American,Female,NULL
2019-0005229,WHI,M,1970
2019-0005230,Black or African American,Female,1985
2019-0005233,White,Male,1967
2019-0005233,NULL,Female,NULL
2019-0005234,NULL,NULL,2019
2019-0005236,Black or African American,Female,2019
2019-0005237,BLK,M,1966
2019-0005237,BLK,F,1920
2019-0005238,S,M,1963
2019-0005239,WHI,M,1979
2019-0005239,Black or African American,Male,1991
2019-0005243,American Indian or Alaska Native,Female,1984
2019-0005244,Black or African American,Male,1982
2019-0005245,Black or African American,Female,1985
2019-0005246,White,Male,1990
2019-0005247,Black or African American,Male,1964
2019-0005250,WHI,M,1978
2019-0005251,NULL,NULL,2019
2019-0005256,Black or African American,Prefer not to say,1960
2019-0005257,BLK,M,1966
2019-0005258,Black or African American,Male,1994
2019-0005261,Black or African American,Male,1975
2019-0005265,NULL,Female,1970
2019-0005265,NULL,Male,1989
2019-0005269,"Hispanic, Latino, or Spanish origin",Female,2000
2019-0005272,Black or African American,Male,NULL
2019-0005272,BLK,F,1972
2019-0005277,White,Female,1984
2019-0005280,Asian,Male,1964
2019-0005282,Black or African American,Male,1996
2019-0005282,Black or African American,Male,1997
2019-0005282,WHI,M,1969
2019-0005284,NULL,NULL,2019
2019-0005285,NULL,NULL,2019
2019-0005286,Black or African American,NULL,1964
2019-0005286,WHI,M,1977
2019-0005290,WHI,M,1976
2019-0005290,NULL,Male,1965
2019-0005291,"Hispanic, Latino, or Spanish Origin",NULL,NULL
2019-0005291,WHI,M,1976
2019-0005302,NULL,NULL,NULL
2019-0005309,"Hispanic, Latino, or Spanish Origin",Female,1995
2019-0005312,WHI,F,1982
2019-0005315,Black or African American,Female,1985
2019-0005316,White,Male,NULL
2019-0005317,NULL,NULL,1980
2019-0005317,WHI,M,1969
2019-0005318,Black or African American,Male,1981
2019-0005321,"Hispanic, Latino, or Spanish Origin",Male,1999
2019-0005321,BLK,F,1969
2019-0005323,Black or African American,Male,1975
2020-0000000,Black or African American,Male,1993
2020-0000002,WHI,M,1971
2020-0000006,Black or African American,Female,1976
2020-0000007,Black or African American,Male,1999
2020-0000007,BLK,M,1967
2020-0000009,NULL,NULL,2019
2020-0000011,WHI,M,1970
2020-0000014,Black or African American,Female,1960
2020-0000019,"Hispanic, Latino, or Spanish Origin",Male,1963
2020-0000022,WHI,M,1970
2020-0000024,BLK,F,1968
2020-0000025,Asian,Male,1986
2020-0000026,Black or African American,Female,1994
