LOG_NO,RACE,GENDER,BIRTH_YEAR,AGE
2019-0003354,NULL,NULL,NULL,NULL
2019-0003356,NULL,NULL,NULL,NULL
2019-0003359,NULL,NULL,NULL,NULL
2019-0003360,NULL,NULL,NULL,NULL
2019-0003363,NULL,NULL,NULL,NULL
2019-0003364,NULL,NULL,NULL,NULL
2019-0003365,NULL,NULL,NULL,NULL
2019-0003368,NULL,NULL,NULL,NULL
2019-0003370,NULL,NULL,NULL,NULL
2019-0003377,NULL,NULL,NULL,NULL
2019-0003383,NULL,NULL,NULL,NULL
2019-0003385,NULL,NULL,NULL,NULL
2019-0003386,NULL,NULL,NULL,NULL
2019-0003387,NULL,NULL,NULL,NULL
2019-0003391,NULL,NULL,NULL,NULL
2019-0003399,NULL,NULL,NULL,NULL
2019-0003402,"Hispanic, Latino, or Spanish Origin",Male,NULL,NULL
2019-0003402,"Hispanic, Latino, or Spanish Origin",Female,1999,20
2019-0003403,NULL,NULL,NULL,NULL
2019-0003409,NULL,NULL,NULL,NULL
2019-0003413,NULL,NULL,NULL,NULL
2019-0003415,NULL,NULL,NULL,NULL
2019-0003419,NULL,NULL,NULL,NULL
2019-0003420,NULL,NULL,NULL,NULL
2019-0003433,NULL,NULL,NULL,NULL
2019-0003434,NULL,NULL,NULL,NULL
2019-0003438,NULL,NULL,NULL,NULL
2019-0003440,NULL,NULL,NULL,NULL
2019-0003442,NULL,NULL,NULL,NULL
2019-0003445,NULL,NULL,NULL,NULL
2019-0003447,Black or African American,Female,NULL,NULL
2019-0003447,Black or African American,Female,NULL,NULL
2019-0003452,NULL,NULL,NULL,NULL
2019-0003457,"Hispanic, Latino, or Spanish Origin",Male,1961,58
2019-0003460,Black or African American,Male,NULL,NULL
2019-0003460,Black or African American,Male,NULL,NULL
2019-0003463,NULL,NULL,NULL,NULL
2019-0003463,NULL,NULL,NULL,NULL
2019-0003464,NULL,NULL,NULL,NULL
2019-0003465,NULL,NULL,NULL,NULL
2019-0003466,NULL,NULL,NULL,NULL
2019-0003473,Black or African American,Female,NULL,NULL
2019-0003474,Black or African American,Male,1954,65
2019-0003478,NULL,NULL,NULL,NULL
2019-0003479,Black or African American,Male,NULL,NULL
2019-0003482,NULL,NULL,NULL,NULL
2019-0003483,Black or African American,Male,1994,25
2019-0003483,Black or African American,Male,1993,26
2019-0003484,NULL,NULL,NULL,NULL
2019-0003486,NULL,NULL,NULL,NULL
2019-0003487,NULL,NULL,NULL,NULL
2019-0003489,NULL,NULL,NULL,NULL
2019-0003492,NULL,NULL,NULL,NULL
2019-0003493,NULL,NULL,NULL,NULL
2019-0003494,NULL,NULL,NULL,NULL
2019-0003495,NULL,NULL,NULL,NULL
2019-0003497,NULL,NULL,NULL,NULL
2019-0003499,NULL,NULL,NULL,NULL
2019-0003500,NULL,NULL,NULL,NULL
2019-0003502,NULL,NULL,NULL,NULL
2019-0003507,NULL,NULL,NULL,NULL
2019-0003509,Black or African American,Male,1977,42
2019-0003513,NULL,NULL,NULL,NULL
2019-0003517,NULL,NULL,NULL,NULL
2019-0003518,NULL,NULL,NULL,NULL
2019-0003519,NULL,NULL,NULL,NULL
2019-0003527,Black or African American,Male,NULL,NULL
2019-0003527,Black or African American,Female,1985,34
2019-0003531,NULL,NULL,NULL,NULL
2019-0003533,NULL,NULL,NULL,NULL
2019-0003534,Black or African American,Male,1965,54
2019-0003539,NULL,NULL,NULL,NULL
2019-0003542,NULL,NULL,NULL,NULL
2019-0003545,NULL,NULL,NULL,NULL
2019-0003547,Black or African American,Male,2000,19
2019-0003548,NULL,NULL,NULL,NULL
2019-0003555,Black or African American,Male,1988,31
2019-0003556,NULL,NULL,NULL,NULL
2019-0003559,NULL,NULL,NULL,NULL
2019-0003560,NULL,NULL,NULL,NULL
2019-0003561,NULL,Male,NULL,NULL
2019-0003562,NULL,NULL,NULL,NULL
2019-0003568,Black or African American,Female,1972,47
2019-0003569,Black or African American,Male,NULL,NULL
2019-0003569,Black or African American,Female,NULL,NULL
2019-0003571,NULL,NULL,NULL,NULL
2019-0003574,White,Male,1986,33
2019-0003581,NULL,NULL,NULL,NULL
2019-0003582,"Hispanic, Latino, or Spanish Origin",Female,1989,30
2019-0003586,Asian,Male,1999,20
2019-0003586,Asian,Male,2000,19
2019-0003590,NULL,NULL,NULL,NULL
2019-0003592,NULL,Male,NULL,NULL
2019-0003593,NULL,Female,1981,38
2019-0003595,NULL,NULL,NULL,NULL
2019-0003600,NULL,NULL,NULL,NULL
2019-0003601,NULL,NULL,NULL,NULL
2019-0003603,NULL,NULL,NULL,NULL
2019-0003610,NULL,NULL,NULL,NULL
2019-0003615,NULL,NULL,NULL,NULL
2019-0003621,NULL,NULL,NULL,NULL
2019-0003622,NULL,NULL,NULL,NULL
2019-0003624,Black or African American,Female,1952,67
2019-0003624,NULL,NULL,NULL,NULL
2019-0003630,Black or African American,Male,1979,40
2019-0003631,NULL,NULL,NULL,NULL
2019-0003634,NULL,NULL,NULL,NULL
2019-0003636,Black or African American,Male,NULL,NULL
2019-0003641,NULL,NULL,NULL,NULL
2019-0003642,NULL,NULL,NULL,NULL
2019-0003643,NULL,NULL,NULL,NULL
2019-0003644,NULL,NULL,NULL,NULL
2019-0003648,NULL,NULL,NULL,NULL
2019-0003650,NULL,NULL,NULL,NULL
2019-0003653,NULL,NULL,NULL,NULL
2019-0003654,NULL,NULL,NULL,NULL
2019-0003657,NULL,NULL,NULL,NULL
2019-0003658,NULL,NULL,NULL,NULL
2019-0003659,NULL,NULL,NULL,NULL
2019-0003662,NULL,NULL,NULL,NULL
2019-0003665,NULL,NULL,NULL,NULL
2019-0003667,NULL,NULL,NULL,NULL
2019-0003669,NULL,NULL,NULL,NULL
2019-0003670,NULL,NULL,NULL,NULL
2019-0003671,NULL,NULL,NULL,NULL
2019-0003673,"Hispanic, Latino, or Spanish Origin",Female,1952,67
2019-0003674,NULL,NULL,NULL,NULL
2019-0003678,NULL,NULL,NULL,NULL
2019-0003679,NULL,NULL,NULL,NULL
2019-0003689,NULL,NULL,NULL,NULL
2019-0003691,NULL,NULL,NULL,NULL
2019-0003694,NULL,NULL,NULL,NULL
2019-0003696,NULL,NULL,NULL,NULL
2019-0003696,NULL,Male,NULL,NULL
2019-0003702,NULL,NULL,NULL,NULL
2019-0003706,NULL,NULL,NULL,NULL
2019-0003708,NULL,NULL,NULL,NULL
2019-0003710,NULL,NULL,NULL,NULL
2019-0003716,Black or African American,Female,NULL,NULL
2019-0003718,NULL,NULL,NULL,NULL
2019-0003719,NULL,NULL,NULL,NULL
2019-0003720,NULL,NULL,NULL,NULL
2019-0003721,NULL,NULL,NULL,NULL
2019-0003724,NULL,NULL,NULL,NULL
2019-0003729,NULL,NULL,NULL,NULL
2019-0003730,Black or African American,Male,1958,61
2019-0003730,Black or African American,Male,NULL,NULL
2019-0003735,NULL,NULL,NULL,NULL
2019-0003736,Black or African American,Female,1967,52
2019-0003740,NULL,NULL,NULL,NULL
2019-0003744,NULL,NULL,NULL,NULL
2019-0003748,NULL,NULL,NULL,NULL
2019-0003749,NULL,NULL,NULL,NULL
2019-0003754,NULL,NULL,NULL,NULL
2019-0003756,NULL,NULL,NULL,NULL
2019-0003760,"Hispanic, Latino, or Spanish Origin",Female,1980,39
2019-0003760,"Hispanic, Latino, or Spanish Origin",Female,1975,44
2019-0003760,American Indian or Alaska Native,Male,1977,42
2019-0003763,NULL,NULL,NULL,NULL
2019-0003764,Black or African American,Male,1983,36
2019-0003765,NULL,NULL,NULL,NULL
2019-0003769,NULL,NULL,NULL,NULL
2019-0003772,NULL,NULL,NULL,NULL
2019-0003777,NULL,NULL,NULL,NULL
2019-0003778,NULL,NULL,NULL,NULL
2019-0003779,NULL,NULL,NULL,NULL
2019-0003780,NULL,NULL,NULL,NULL
2019-0003790,Black or African American,Male,NULL,NULL
2019-0003794,NULL,NULL,NULL,NULL
2019-0003799,NULL,Male,1996,23
2019-0003799,NULL,Male,2004,15
2019-0003802,NULL,NULL,NULL,NULL
2019-0003804,NULL,NULL,1993,26
2019-0003806,NULL,NULL,NULL,NULL
2019-0003807,NULL,NULL,NULL,NULL
2019-0003812,NULL,NULL,NULL,NULL
2019-0003813,NULL,NULL,NULL,NULL
2019-0003815,NULL,NULL,NULL,NULL
2019-0003818,NULL,NULL,NULL,NULL
2019-0003821,Black or African American,Male,NULL,NULL
2019-0003823,NULL,NULL,NULL,NULL
2019-0003826,NULL,NULL,NULL,NULL
2019-0003827,NULL,NULL,NULL,NULL
2019-0003828,NULL,NULL,NULL,NULL
2019-0003830,NULL,NULL,NULL,NULL
2019-0003835,Black or African American,Male,1982,37
2019-0003836,NULL,NULL,NULL,NULL
2019-0003838,NULL,NULL,NULL,NULL
2019-0003839,NULL,NULL,NULL,NULL
2019-0003840,NULL,NULL,NULL,NULL
2019-0003842,Black or African American,Male,NULL,NULL
2019-0003842,Black or African American,Male,NULL,NULL
2019-0003845,Black or African American,Male,2004,15
2019-0003847,NULL,NULL,NULL,NULL
2019-0003849,NULL,NULL,NULL,NULL
2019-0003851,NULL,NULL,NULL,NULL
2019-0003855,NULL,NULL,NULL,NULL
2019-0003856,NULL,NULL,NULL,NULL
2019-0003858,NULL,NULL,NULL,NULL
2019-0003861,"Hispanic, Latino, or Spanish Origin",Female,1989,30
2019-0003864,NULL,NULL,NULL,NULL
2019-0003869,NULL,NULL,NULL,NULL
2019-0003871,"Hispanic, Latino, or Spanish Origin",Male,1995,24
2019-0003871,NULL,NULL,1989,30
2019-0003874,NULL,NULL,NULL,NULL
2019-0003878,NULL,NULL,NULL,NULL
2019-0003884,NULL,NULL,NULL,NULL
2019-0003887,Black or African American,Male,1967,52
2019-0003890,NULL,NULL,NULL,NULL
2019-0003900,NULL,NULL,NULL,NULL
2019-0003901,NULL,NULL,NULL,NULL
2019-0003905,NULL,NULL,NULL,NULL
2019-0003908,NULL,NULL,NULL,NULL
2019-0003910,Black or African American,Male,NULL,NULL
2019-0003920,NULL,NULL,NULL,NULL
2019-0003921,NULL,NULL,NULL,NULL
2019-0003922,NULL,NULL,NULL,NULL
2019-0003924,NULL,NULL,NULL,NULL
2019-0003932,Black or African American,Male,1981,38
2019-0003933,NULL,NULL,NULL,NULL
2019-0003934,NULL,NULL,NULL,NULL
2019-0003936,"Hispanic, Latino, or Spanish Origin",Female,1982,37
2019-0003937,NULL,Female,NULL,NULL
2019-0003937,NULL,Male,1986,33
2019-0003941,NULL,NULL,NULL,NULL
2019-0003943,NULL,NULL,NULL,NULL
2019-0003944,American Indian or Alaska Native,Female,NULL,NULL
2019-0003944,American Indian or Alaska Native,Female,NULL,NULL
2019-0003949,NULL,NULL,NULL,NULL
2019-0003950,Black or African American,Female,NULL,NULL
2019-0003951,NULL,NULL,NULL,NULL
2019-0003952,NULL,NULL,NULL,NULL
2019-0003954,Black or African American,Female,NULL,NULL
2019-0003955,Black or African American,Female,NULL,NULL
2019-0003959,White,Male,1990,29
2019-0003960,NULL,NULL,NULL,NULL
2019-0003965,NULL,NULL,NULL,NULL
2019-0003966,NULL,NULL,NULL,NULL
2019-0003968,NULL,NULL,NULL,NULL
2019-0003969,Black or African American,Male,2004,15
2019-0003970,Black or African American,Male,2004,15
2019-0003971,NULL,NULL,NULL,NULL
2019-0003972,NULL,NULL,NULL,NULL
2019-0003975,White,Female,1988,31
2019-0003975,White,Male,1993,26
2019-0003975,NULL,Female,1990,29
2019-0003975,NULL,Male,1995,24
2019-0003975,NULL,Male,1992,27
2019-0003975,White,Male,1992,27
2019-0003976,Black or African American,Male,NULL,NULL
2019-0003977,NULL,NULL,NULL,NULL
2019-0003985,NULL,NULL,NULL,NULL
2019-0003985,NULL,NULL,NULL,NULL
2019-0003986,NULL,NULL,NULL,NULL
2019-0003987,NULL,NULL,NULL,NULL
2019-0003988,NULL,NULL,NULL,NULL
2019-0003989,NULL,NULL,NULL,NULL
2019-0003992,NULL,NULL,NULL,NULL
2019-0003997,NULL,NULL,NULL,NULL
2019-0003998,NULL,NULL,NULL,NULL
2019-0004001,NULL,NULL,NULL,NULL
2019-0004009,NULL,NULL,NULL,NULL
2019-0004015,NULL,NULL,NULL,NULL
2019-0004019,NULL,NULL,NULL,NULL
2019-0004020,NULL,NULL,NULL,NULL
2019-0004025,NULL,NULL,NULL,NULL
2019-0004029,NULL,NULL,NULL,NULL
2019-0004030,NULL,NULL,NULL,NULL
2019-0004035,NULL,Male,1994,25
2019-0004038,NULL,NULL,NULL,NULL
2019-0004041,NULL,NULL,NULL,NULL
2019-0004043,NULL,NULL,NULL,NULL
2019-0004045,NULL,NULL,NULL,NULL
2019-0004047,NULL,NULL,NULL,NULL
2019-0004048,NULL,NULL,NULL,NULL
2019-0004049,NULL,NULL,NULL,NULL
2019-0004050,NULL,NULL,NULL,NULL
2019-0004051,NULL,NULL,NULL,NULL
2019-0004055,NULL,NULL,NULL,NULL
2019-0004064,Black or African American,Male,2019,0
2019-0004068,NULL,NULL,NULL,NULL
2019-0004069,White,Male,1977,42
2019-0004072,NULL,NULL,NULL,NULL
2019-0004085,NULL,NULL,NULL,NULL
2019-0004089,NULL,NULL,NULL,NULL
2019-0004094,NULL,NULL,NULL,NULL
2019-0004098,NULL,NULL,NULL,NULL
2019-0004101,NULL,Male,NULL,NULL
2019-0004103,NULL,NULL,NULL,NULL
2019-0004105,NULL,NULL,NULL,NULL
2019-0004107,NULL,NULL,NULL,NULL
2019-0004112,NULL,NULL,NULL,NULL
2019-0004114,NULL,NULL,NULL,NULL
2019-0004118,NULL,NULL,NULL,NULL
2019-0004120,NULL,NULL,NULL,NULL
2019-0004122,Black or African American,Male,NULL,NULL
2019-0004124,Asian,Male,1998,21
2019-0004125,NULL,NULL,NULL,NULL
2019-0004126,NULL,NULL,NULL,NULL
2019-0004127,NULL,NULL,NULL,NULL
2019-0004129,NULL,NULL,NULL,NULL
2019-0004134,Black or African American,Female,1993,26
2019-0004134,NULL,NULL,1960,59
2019-0004137,Black or African American,NULL,NULL,NULL
2019-0004145,NULL,NULL,NULL,NULL
2019-0004146,Black or African American,NULL,NULL,NULL
2019-0004149,Black or African American,NULL,1987,32
2019-0004150,NULL,NULL,NULL,NULL
2019-0004151,NULL,NULL,NULL,NULL
2019-0004161,Black or African American,Female,1973,46
2019-0004163,NULL,NULL,NULL,NULL
2019-0004174,Black or African American,Female,1993,26
2019-0004176,NULL,NULL,NULL,NULL
2019-0004177,NULL,NULL,NULL,NULL
2019-0004179,NULL,NULL,NULL,NULL
2019-0004180,NULL,NULL,NULL,NULL
2019-0004181,NULL,NULL,NULL,NULL
2019-0004182,NULL,NULL,NULL,NULL
2019-0004184,NULL,NULL,NULL,NULL
2019-0004186,NULL,NULL,NULL,NULL
2019-0004189,NULL,NULL,NULL,NULL
2019-0004191,NULL,NULL,NULL,NULL
2019-0004192,NULL,NULL,NULL,NULL
2019-0004197,NULL,NULL,NULL,NULL
2019-0004199,NULL,NULL,NULL,NULL
2019-0004202,NULL,NULL,NULL,NULL
2019-0004204,NULL,NULL,NULL,NULL
2019-0004208,NULL,NULL,NULL,NULL
2019-0004209,NULL,NULL,NULL,NULL
2019-0004213,NULL,NULL,NULL,NULL
2019-0004215,NULL,NULL,NULL,NULL
2019-0004216,NULL,NULL,NULL,NULL
2019-0004219,NULL,NULL,NULL,NULL
2019-0004220,NULL,NULL,NULL,NULL
2019-0004221,NULL,NULL,NULL,NULL
2019-0004222,NULL,NULL,NULL,NULL
2019-0004223,NULL,NULL,NULL,NULL
2019-0004225,NULL,NULL,NULL,NULL
2019-0004226,NULL,NULL,NULL,NULL
2019-0004229,NULL,NULL,NULL,NULL
2019-0004230,NULL,NULL,NULL,NULL
2019-0004232,NULL,NULL,NULL,NULL
2019-0004234,NULL,NULL,NULL,NULL
2019-0004236,NULL,NULL,NULL,NULL
2019-0004237,NULL,NULL,NULL,NULL
2019-0004240,Black or African American,Female,NULL,NULL
2019-0004244,NULL,NULL,NULL,NULL
2019-0004246,NULL,NULL,NULL,NULL
2019-0004248,NULL,NULL,NULL,NULL
2019-0004249,Black or African American,Female,NULL,NULL
2019-0004255,NULL,NULL,NULL,NULL
2019-0004256,NULL,NULL,NULL,NULL
2019-0004257,NULL,NULL,NULL,NULL
2019-0004259,NULL,NULL,NULL,NULL
2019-0004260,Black or African American,Male,2003,16
2019-0004261,NULL,NULL,NULL,NULL
2019-0004267,NULL,NULL,NULL,NULL
2019-0004269,NULL,NULL,NULL,NULL
2019-0004270,NULL,NULL,NULL,NULL
2019-0004274,NULL,NULL,NULL,NULL
2019-0004279,Black or African American,Male,NULL,NULL
2019-0004282,NULL,NULL,NULL,NULL
2019-0004283,NULL,NULL,NULL,NULL
2019-0004289,NULL,NULL,NULL,NULL
2019-0004291,NULL,NULL,NULL,NULL
2019-0004292,NULL,NULL,NULL,NULL
2019-0004294,NULL,NULL,NULL,NULL
2019-0004297,NULL,NULL,NULL,NULL
2019-0004304,NULL,NULL,NULL,NULL
2019-0004308,NULL,NULL,NULL,NULL
2019-0004309,NULL,NULL,NULL,NULL
2019-0004319,Black or African American,Male,2002,17
2019-0004319,Black or African American,Male,2004,15
2019-0004321,NULL,NULL,NULL,NULL
2019-0004325,"Hispanic, Latino, or Spanish Origin",NULL,NULL,NULL
2019-0004328,NULL,NULL,NULL,NULL
2019-0004329,NULL,NULL,NULL,NULL
2019-0004331,NULL,NULL,NULL,NULL
2019-0004338,NULL,NULL,NULL,NULL
2019-0004339,NULL,NULL,NULL,NULL
2019-0004341,NULL,NULL,NULL,NULL
2019-0004344,NULL,NULL,NULL,NULL
2019-0004346,NULL,NULL,NULL,NULL
2019-0004351,NULL,NULL,NULL,NULL
2019-0004352,NULL,NULL,NULL,NULL
2019-0004353,NULL,NULL,NULL,NULL
2019-0004354,NULL,NULL,NULL,NULL
2019-0004355,NULL,NULL,NULL,NULL
2019-0004356,NULL,NULL,NULL,NULL
2019-0004357,NULL,NULL,NULL,NULL
2019-0004360,NULL,NULL,NULL,NULL
2019-0004362,NULL,NULL,NULL,NULL
2019-0004364,NULL,NULL,NULL,NULL
2019-0004365,NULL,NULL,NULL,NULL
2019-0004368,NULL,NULL,NULL,NULL
2019-0004379,NULL,NULL,NULL,NULL
2019-0004384,Black or African American,Female,1981,38
2019-0004384,Black or African American,Female,NULL,NULL
2019-0004384,Black or African American,Female,NULL,NULL
2019-0004384,Black or African American,Female,NULL,NULL
2019-0004388,NULL,NULL,NULL,NULL
2019-0004390,NULL,NULL,NULL,NULL
2019-0004398,NULL,NULL,NULL,NULL
2019-0004399,NULL,NULL,NULL,NULL
2019-0004401,NULL,NULL,NULL,NULL
2019-0004404,NULL,NULL,NULL,NULL
2019-0004407,NULL,NULL,NULL,NULL
2019-0004408,NULL,NULL,NULL,NULL
2019-0004409,NULL,NULL,NULL,NULL
2019-0004415,NULL,NULL,NULL,NULL
2019-0004419,NULL,NULL,NULL,NULL
2019-0004420,White,Female,NULL,NULL
2019-0004424,NULL,NULL,NULL,NULL
2019-0004428,NULL,NULL,NULL,NULL
2019-0004432,NULL,NULL,NULL,NULL
2019-0004433,NULL,NULL,NULL,NULL
2019-0004434,NULL,NULL,NULL,NULL
2019-0004437,NULL,NULL,NULL,NULL
2019-0004439,Black or African American,Male,1992,27
2019-0004441,NULL,NULL,NULL,NULL
2019-0004445,NULL,NULL,NULL,NULL
2019-0004446,NULL,NULL,NULL,NULL
2019-0004450,White,Female,1962,57
2019-0004455,NULL,NULL,NULL,NULL
2019-0004456,NULL,NULL,NULL,NULL
2019-0004457,NULL,NULL,NULL,NULL
2019-0004458,NULL,NULL,NULL,NULL
2019-0004464,NULL,NULL,NULL,NULL
2019-0004466,NULL,NULL,NULL,NULL
2019-0004467,NULL,NULL,NULL,NULL
2019-0004470,NULL,NULL,NULL,NULL
2019-0004473,NULL,NULL,NULL,NULL
2019-0004479,NULL,Female,NULL,NULL
2019-0004479,NULL,Male,NULL,NULL
2019-0004487,NULL,NULL,NULL,NULL
2019-0004488,NULL,NULL,NULL,NULL
2019-0004492,NULL,NULL,NULL,NULL
2019-0004494,NULL,NULL,NULL,NULL
2019-0004495,NULL,NULL,NULL,NULL
2019-0004496,NULL,NULL,NULL,NULL
2019-0004498,NULL,NULL,NULL,NULL
2019-0004500,NULL,NULL,NULL,NULL
2019-0004502,NULL,NULL,NULL,NULL
2019-0004504,NULL,NULL,NULL,NULL
2019-0004505,NULL,NULL,NULL,NULL
2019-0004506,NULL,NULL,NULL,NULL
2019-0004508,NULL,NULL,NULL,NULL
2019-0004513,NULL,NULL,NULL,NULL
2019-0004515,NULL,NULL,NULL,NULL
2019-0004516,NULL,NULL,NULL,NULL
2019-0004517,NULL,NULL,NULL,NULL
2019-0004518,NULL,NULL,NULL,NULL
2019-0004522,NULL,NULL,NULL,NULL
2019-0004528,Black or African American,Male,1995,24
2019-0004529,NULL,NULL,NULL,NULL
2019-0004530,NULL,NULL,NULL,NULL
2019-0004533,NULL,NULL,NULL,NULL
2019-0004535,NULL,NULL,NULL,NULL
2019-0004538,Black or African American,Male,1980,39
2019-0004539,Black or African American,Female,1999,20
2019-0004545,NULL,NULL,NULL,NULL
2019-0004546,NULL,NULL,NULL,NULL
2019-0004547,NULL,NULL,NULL,NULL
2019-0004548,NULL,NULL,NULL,NULL
2019-0004559,NULL,NULL,NULL,NULL
2019-0004565,NULL,NULL,NULL,NULL
2019-0004567,NULL,NULL,NULL,NULL
2019-0004572,NULL,NULL,NULL,NULL
2019-0004573,NULL,NULL,NULL,NULL
2019-0004574,"Hispanic, Latino, or Spanish Origin",Male,2006,13
2019-0004576,Black or African American,Female,2003,16
2019-0004576,Black or African American,Female,2005,14
2019-0004579,NULL,NULL,NULL,NULL
2019-0004583,NULL,NULL,NULL,NULL
2019-0004587,NULL,NULL,NULL,NULL
2019-0004589,White,Male,NULL,NULL
2019-0004591,NULL,NULL,NULL,NULL
2019-0004592,NULL,NULL,NULL,NULL
2019-0004595,NULL,NULL,NULL,NULL
2019-0004597,White,Female,1975,44
2019-0004598,Black or African American,Female,1999,20
2019-0004599,NULL,NULL,NULL,NULL
2019-0004600,NULL,NULL,NULL,NULL
2019-0004601,NULL,NULL,NULL,NULL
2019-0004608,NULL,NULL,NULL,NULL
2019-0004610,NULL,NULL,NULL,NULL
2019-0004617,NULL,NULL,NULL,NULL
2019-0004622,NULL,NULL,NULL,NULL
2019-0004625,NULL,NULL,NULL,NULL
2019-0004628,NULL,NULL,NULL,NULL
2019-0004634,NULL,NULL,NULL,NULL
2019-0004635,NULL,NULL,NULL,NULL
2019-0004642,NULL,Female,2001,18
2019-0004644,NULL,NULL,NULL,NULL
2019-0004646,NULL,NULL,NULL,NULL
2019-0004647,NULL,NULL,NULL,NULL
2019-0004648,NULL,NULL,NULL,NULL
2019-0004649,NULL,NULL,NULL,NULL
2019-0004650,Black or African American,Male,2019,0
2019-0004653,NULL,NULL,NULL,NULL
2019-0004654,NULL,NULL,NULL,NULL
2019-0004658,NULL,NULL,NULL,NULL
2019-0004659,NULL,NULL,NULL,NULL
2019-0004668,NULL,NULL,NULL,NULL
2019-0004670,NULL,NULL,NULL,NULL
2019-0004671,NULL,NULL,NULL,NULL
2019-0004676,NULL,NULL,NULL,NULL
2019-0004679,NULL,NULL,NULL,NULL
2019-0004680,White,Female,1962,57
2019-0004685,NULL,NULL,NULL,NULL
2019-0004688,NULL,NULL,NULL,NULL
2019-0004690,NULL,NULL,NULL,NULL
2019-0004694,NULL,NULL,NULL,NULL
2019-0004695,NULL,NULL,NULL,NULL
2019-0004696,NULL,NULL,NULL,NULL
2019-0004700,NULL,NULL,NULL,NULL
2019-0004711,NULL,NULL,NULL,NULL
2019-0004715,NULL,NULL,NULL,NULL
2019-0004716,Black or African American,NULL,NULL,NULL
2019-0004717,NULL,NULL,NULL,NULL
2019-0004718,NULL,NULL,NULL,NULL
2019-0004722,NULL,NULL,NULL,NULL
2019-0004725,NULL,NULL,NULL,NULL
2019-0004729,NULL,NULL,NULL,NULL
2019-0004730,NULL,NULL,NULL,NULL
2019-0004738,NULL,NULL,NULL,NULL
2019-0004742,NULL,NULL,NULL,NULL
2019-0004744,NULL,NULL,NULL,NULL
2019-0004745,NULL,NULL,NULL,NULL
2019-0004746,NULL,NULL,NULL,NULL
2019-0004748,NULL,Male,1978,41
2019-0004750,NULL,NULL,NULL,NULL
2019-0004754,NULL,NULL,NULL,NULL
2019-0004760,NULL,NULL,NULL,NULL
2019-0004773,NULL,NULL,NULL,NULL
2019-0004774,NULL,NULL,NULL,NULL
2019-0004775,NULL,NULL,NULL,NULL
2019-0004776,Black or African American,Female,2002,17
2019-0004780,NULL,NULL,NULL,NULL
2019-0004781,Black or African American,Male,1997,22
2019-0004781,Black or African American,Male,1995,24
2019-0004782,Black or African American,Male,1998,21
2019-0004783,NULL,NULL,NULL,NULL
2019-0004786,NULL,NULL,NULL,NULL
2019-0004789,NULL,NULL,NULL,NULL
2019-0004790,Black or African American,Male,1978,41
2019-0004790,NULL,NULL,1947,72
2019-0004793,NULL,NULL,NULL,NULL
2019-0004795,NULL,NULL,NULL,NULL
2019-0004801,NULL,NULL,NULL,NULL
2019-0004803,NULL,NULL,NULL,NULL
2019-0004814,Black or African American,NULL,1987,32
2019-0004818,NULL,NULL,NULL,NULL
2019-0004819,NULL,NULL,NULL,NULL
2019-0004821,NULL,NULL,NULL,NULL
2019-0004822,NULL,NULL,NULL,NULL
2019-0004828,NULL,NULL,NULL,NULL
2019-0004829,NULL,NULL,NULL,NULL
2019-0004831,NULL,NULL,NULL,NULL
2019-0004832,Black or African American,Male,1994,25
2019-0004836,NULL,NULL,NULL,NULL
2019-0004838,NULL,NULL,NULL,NULL
2019-0004848,NULL,NULL,NULL,NULL
2019-0004849,Black or African American,Female,1985,34
2019-0004851,NULL,NULL,NULL,NULL
2019-0004852,NULL,NULL,NULL,NULL
2019-0004856,NULL,NULL,NULL,NULL
2019-0004858,NULL,NULL,NULL,NULL
2019-0004859,NULL,NULL,NULL,NULL
2019-0004861,NULL,NULL,NULL,NULL
2019-0004863,NULL,NULL,NULL,NULL
2019-0004865,Black or African American,Male,1992,27
2019-0004865,Black or African American,Male,1989,30
2019-0004867,NULL,NULL,NULL,NULL
2019-0004868,NULL,Female,NULL,NULL
2019-0004868,Black or African American,Male,NULL,NULL
2019-0004871,Black or African American,Female,1991,28
2019-0004872,"Hispanic, Latino, or Spanish origin",Male,NULL,NULL
2019-0004873,NULL,NULL,NULL,NULL
2019-0004875,NULL,NULL,1999,20
2019-0004876,NULL,NULL,NULL,NULL
2019-0004878,NULL,NULL,NULL,NULL
2019-0004879,White,Female,1980,39
2019-0004879,White,NULL,2007,12
2019-0004879,White,NULL,1973,46
2019-0004879,White,NULL,NULL,NULL
2019-0004880,Black or African American,Female,1945,74
2019-0004882,NULL,NULL,NULL,NULL
2019-0004888,NULL,NULL,NULL,NULL
2019-0004900,NULL,NULL,NULL,NULL
2019-0004902,NULL,NULL,NULL,NULL
2019-0004909,NULL,NULL,NULL,NULL
2019-0004912,NULL,NULL,NULL,NULL
2019-0004916,NULL,NULL,NULL,NULL
2019-0004918,NULL,NULL,NULL,NULL
2019-0004922,NULL,NULL,NULL,NULL
2019-0004926,NULL,NULL,NULL,NULL
2019-0004927,NULL,NULL,NULL,NULL
2019-0004934,NULL,NULL,NULL,NULL
2019-0004935,NULL,NULL,NULL,NULL
2019-0004939,Black or African American,Male,2001,18
2019-0004940,NULL,Female,NULL,NULL
2019-0004942,NULL,NULL,NULL,NULL
2019-0004946,NULL,NULL,NULL,NULL
2019-0004950,NULL,NULL,NULL,NULL
2019-0004953,NULL,NULL,NULL,NULL
2019-0004954,NULL,NULL,NULL,NULL
2019-0004956,NULL,NULL,NULL,NULL
